,Draft Year,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
165,2010,46,PHO,Gani Lawal,Georgia Institute of Technology,1,1,2,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,-.009,-4.9,0.0
166,2010,47,MIL,Tiny Gallon,University of Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2010,48,MIA,Latavious Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2010,49,SAS,Ryan Richards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2010,50,DAL,Solomon Alabi,Florida State University,2,26,181,39,61,5,.314,0,.700,7.0,1.5,2.3,0.2,0.0,.010,-5.4,-0.2
170,2010,51,OKC,Magnum Rolle,Louisiana Tech University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2010,52,BOS,Luke Harangody,University of Notre Dame,2,70,871,253,196,36,.376,.241,.737,12.4,3.6,2.8,0.5,0.9,.048,-3.3,-0.3
172,2010,53,ATL,Pape Sy,0,1,3,21,7,3,2,.333,.000,1.000,7.0,2.3,1.0,0.7,0.0,-.047,-6.0,0.0
173,2010,54,LAC,Willie Warren,University of Oklahoma,1,19,134,37,12,27,.371,.333,.750,7.1,1.9,0.6,1.4,0.2,.065,-4.5,-0.1
174,2010,55,UTA,Jeremy Evans,Western Kentucky University,7,250,2626,879,641,107,.569,.231,.687,10.5,3.5,2.6,0.4,8.2,.150,1.0,2.0
175,2010,56,MIN,Hamady N'Diaye,Rutgers University,3,33,157,20,25,3,.467,0,.462,4.8,0.6,0.8,0.1,0.0,.013,-4.9,-0.1
176,2010,57,IND,Ryan Reid,Florida State University,1,5,17,8,2,0,.800,0,0,3.4,1.6,0.4,0.0,0.1,.142,-5.5,0.0
177,2010,58,LAL,Derrick Caracter,University of Texas at El Paso,1,41,215,81,43,7,.485,0,.739,5.2,2.0,1.0,0.2,0.3,.057,-4.9,-0.2
178,2010,59,ORL,Stanley Robinson,University of Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2010,60,PHO,Dwayne Collins,University of Miami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2011,31,MIA,Bojan Bogdanovic,0,5,399,11089,5295,1348,558,.463,.389,.846,27.8,13.3,3.4,1.4,18.4,.080,-1.7,1.0
181,2011,32,CLE,Justin Harper,University of Richmond,3,22,150,45,18,4,.340,.276,.333,6.8,2.0,0.8,0.2,-0.3,-.093,-8.4,-0.2
182,2011,33,DET,Kyle Singler,Duke University,6,356,7794,2326,1026,272,.418,.362,.786,21.9,6.5,2.9,0.8,10.0,.062,-1.6,0.7
183,2011,34,WAS,Shelvin Mack,Butler University,8,456,8392,2997,894,1421,.423,.330,.731,18.4,6.6,2.0,3.1,10.3,.059,-2.7,-1.5
184,2011,35,SAC,Tyler Honeycutt,"University of California, Los Angeles",2,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-.049,-6.4,-0.1
185,2011,36,NJN,Jordan Williams,University of Maryland,1,43,635,197,156,11,.507,0,.652,14.8,4.6,3.6,0.3,1.3,.101,-3.1,-0.2
186,2011,37,LAC,Trey Thompkins,University of Georgia,1,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-8.9,-0.2
187,2011,38,HOU,Chandler Parsons,University of Florida,8,435,13192,5557,1965,1198,.462,.373,.713,30.3,12.8,4.5,2.8,29.0,.106,1.6,12.0
188,2011,39,CHA,Jeremy Tyler,0,3,104,1034,373,269,25,.450,.000,.557,9.9,3.6,2.6,0.2,0.3,.014,-6.6,-1.2
189,2011,40,MIL,Jon Leuer,University of Wisconsin,8,377,5945,2395,1426,301,.484,.328,.767,15.8,6.4,3.8,0.8,13.2,.107,-1.4,0.9
190,2011,41,LAL,Darius Morris,University of Michigan,4,132,1464,430,126,189,.384,.322,.630,11.1,3.3,1.0,1.4,-0.3,-.010,-5.6,-1.3
191,2011,42,IND,Davis Bertans,0,3,220,3526,1365,515,220,.444,.404,.846,16.0,6.2,2.3,1.0,9.3,.127,1.3,2.9
